pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
100520,19,AAFFFACCAFFFZFZFZFFZFZFFZFFFZFACAFZFFZFZFZFFZFFF,1.61,162AAFFFACCAFFFZFZFZFFZFZFFZFFFZFACAFZFFZFZFZFFZFFF,28.38,26.64,19.44
100530,19,AAFFFACCAFFFZFZFAAFFFZFZFFFZFZFAAFZFFZFZFZFFZFFF,1.61,162AAFFFACCAFFFZFZFAAFFFZFZFFFZFZFAAFZFFZFZFZFFZFFF,22.11,20.69,14.63
100531,19,AAFFFAAFFZFFFZFZFAAFZFFZFZFZFFZFFFAAFFFACCAFFFZF,1.61,162AAFFFAAFFZFFFZFZFAAFZFFZFZFZFFZFFFAAFFFACCAFFFZF,23.26,21.64,15.52
100548,19,AAFFFZFFZFZFFFACAFZFFFACCAFFFZFFZFFZFZFFZFAAFFZF,1.61,162AAFFFZFFZFZFFFACAFZFFFACCAFFFZFFZFFZFZFFZFAAFFZF,27.60,25.37,18.66
100549,19,AAFFAAFFFAAFFFZFZFFFACAFZFFFACCAFFFZFFZFFZFZFFZF,1.97,198AAFFAAFFFAAFFFZFZFFFACAFZFFFACCAFFFZFFZFFZFZFFZF,17.78,15.56,10.87
100551,19,ACAFFFZFZFFFZFZFZFFACAFFFZFZFZFFZFFZFFFACCAFFFZF,1.61,162ACAFFFZFZFFFZFZFZFFACAFFFZFZFZFFZFFZFFFACCAFFFZF,37.56,31.34,24.76
100562,19,AAFFFZFAAFZFZFFFAAFFZFFZFFFACCAFFFZFACAFFFZFFZFF,1.61,162AAFFFZFAAFZFZFFFAAFFZFFZFFFACCAFFFZFACAFFFZFFZFF,31.93,27.12,21.17
100569,19,AAFAAFFFZFFAAFFZFFZFFFACCAFFFZFACAFFFZFFZFFZFZFF,1.61,162AAFAAFFFZFFAAFFZFFZFFFACCAFFFZFACAFFFZFFZFFZFZFF,39.16,32.89,25.83
100570,19,AAFFFZFZFAAFFZFZFFZFFZFFFACAFZFFFACCAFFFZFZFFFZF,1.61,162AAFFFZFZFAAFFZFZFFZFFZFFFACAFZFFFACCAFFFZFZFFFZF,31.08,27.95,21.20
100592,19,AAFFAAFFFAAFFFZFFZFAAFZFFFACCAFFFZFZFFFZFZFZFFZF,1.61,162AAFFAAFFFAAFFFZFFZFAAFZFFFACCAFFFZFZFFFZFZFZFFZF,20.37,19.11,13.32
100600,19,AAFFFZFZFFZFFFACCAFFFZFAAFZFFZFFFZFZFZFFACAFFFZF,1.61,162AAFFFZFZFFZFFFACCAFFFZFAAFZFFZFFFZFZFZFFACAFFFZF,33.37,28.75,22.33
100602,19,AAFAAFFFZFFAAFFZFFZFFFACCAFFFZFAAFZFFZFFFZFZFZFF,1.61,162AAFAAFFFZFFAAFFZFFZFFFACCAFFFZFAAFZFFZFFFZFZFZFF,27.70,24.89,18.64
100608,19,AAFFACAFFFZFZFZFFZFFZFFFACCAFFFZFAAFZFFFAAFFFZFF,1.61,162AAFFACAFFFZFZFZFFZFFZFFFACCAFFFZFAAFZFFFAAFFFZFF,32.37,28.64,22.14
100610,19,AAFFAAFFZFFFAAFFFZFAAFZFFFACCAFFFZFFZFZFFFAAFFZF,1.61,162AAFFAAFFZFFFAAFFFZFAAFZFFFACCAFFFZFFZFZFFFAAFFZF,22.44,20.38,14.65
100636,19,AAFZFFFACCAFFFZFFZFZFFFACAFFFZFFACAFFZFZFFZFFFZF,1.61,162AAFZFFFACCAFFFZFFZFZFFFACAFFFZFFACAFFZFZFFZFFFZF,35.03,31.10,23.73
100664,19,AAFFAAFFZFFFZFZFFAAFZFFFACCAFFFZFZFFFZFAAFFFZFZF,1.61,162AAFFAAFFZFFFZFZFFAAFZFFFACCAFFFZFZFFFZFAAFFFZFZF,20.93,19.36,13.65
100687,19,AAFACAFFFZFFAAFFFZFFAAFZFFFACCAFFFZFFZFFAAFFZFFF,1.61,162AAFACAFFFZFFAAFFFZFFAAFZFFFACCAFFFZFFZFFAAFFZFFF,27.64,25.09,18.73
100688,19,AAFFFZFFAAFZFFFACCAFFFZFZFFFZFAAFFFZFZFACAFFFZFF,1.61,162AAFFFZFFAAFZFFFACCAFFFZFZFFFZFAAFFFZFZFACAFFFZFF,30.69,27.01,20.62
100690,19,AAFFFAAFFFZFZFFFACCAFFFZFAAFFZFFFAAFFZFFFACAFZFF,1.97,198AAFFFAAFFFZFZFFFACCAFFFZFAAFFZFFFAAFFZFFFACAFZFF,20.61,17.82,12.83
